English,Transcription,Русский
computer,/kəmˈpjuːtər/,компьютер
laptop,/ˈlæptɒp/,ноутбук
screen,/skriːn/,экран
keyboard,/ˈkiːbɔːd/,клавиатура
computer mouse,/kəmˈpjuːtər maʊs/,мышь (компьютерная)
internet,/ˈɪntənet/,интернет
password,/ˈpɑːswɜːd/,пароль
email,/ˈiːmeɪl/,электронная почта
message,/ˈmesɪdʒ/,сообщение
app,/æp/,приложение
file,/faɪl/,файл
camera,/ˈkæmərə/,камера
battery,/ˈbætəri/,батарея
charger,/ˈtʃɑːdʒər/,зарядка
download,/ˌdaʊnˈləʊd/,скачивать
online,/ˌɒnˈlaɪn/,онлайн
# ─────────── ПРОФЕССИИ (PROFESSIONS) ───────────
teacher,/ˈtiːtʃər/,учитель
nurse,/nɜːs/,медсестра
police officer,/pəˈliːs ˈɒfɪsər/,полицейский
firefighter,/ˈfaɪəfaɪtər/,пожарный
driver,/ˈdraɪvər/,водитель
farmer,/ˈfɑːmər/,фермер
engineer,/ˌendʒɪˈnɪər/,инженер
lawyer,/ˈlɔɪər/,юрист
artist,/ˈɑːtɪst/,художник
singer,/ˈsɪŋər/,певец
actor,/ˈæktər/,актёр
writer,/ˈraɪtər/,писатель
scientist,/ˈsaɪəntɪst/,учёный
programmer,/ˈprəʊɡræmər/,программист
pilot,/ˈpaɪlət/,пилот
soldier,/ˈsəʊldʒər/,солдат
# ─────────── ДЕТСАД И ШКОЛА (KINDERGARTEN & SCHOOL) ───────────
kindergarten,/ˈkɪndəɡɑːtən/,детский сад
pupil,/ˈpjuːpəl/,ученик
student,/ˈstjuːdənt/,студент
lesson,/ˈlesən/,урок
homework,/ˈhəʊmwɜːk/,домашнее задание
book,/bʊk/,книга
pen,/pen/,ручка
pencil,/ˈpensəl/,карандаш
paper,/ˈpeɪpər/,бумага
desk,/desk/,парта / стол
board,/bɔːd/,доска
test,/test/,тест / контрольная
mark,/mɑːk/,оценка
toy,/tɔɪ/,игрушка
game,/ɡeɪm/,игра
draw,/drɔː/,рисовать
# ─────────── ОФИС (OFFICE) ───────────
meeting,/ˈmiːtɪŋ/,совещание / встреча
report,/rɪˈpɔːt/,отчёт
deadline,/ˈdedlaɪn/,крайний срок
project,/ˈprɒdʒekt/,проект
colleague,/ˈkɒliːɡ/,коллега
salary,/ˈsæləri/,зарплата
document,/ˈdɒkjumənt/,документ
printer,/ˈprɪntər/,принтер
schedule,/ˈʃedjuːl/,расписание
contract,/ˈkɒntrækt/,контракт
# ─────────── СКАЗКИ (FAIRY TALES) ───────────
fairy tale,/ˈfeəri teɪl/,сказка
king,/kɪŋ/,король
queen,/kwiːn/,королева
prince,/prɪns/,принц
princess,/ˌprɪnˈses/,принцесса
dragon,/ˈdræɡən/,дракон
knight,/naɪt/,рыцарь
castle,/ˈkɑːsəl/,замок
giant,/ˈdʒaɪənt/,великан
fairy,/ˈfeəri/,фея
wizard,/ˈwɪzəd/,волшебник
treasure,/ˈtreʒər/,сокровище
Once upon a time,/wʌns əˈpɒn ə taɪm/,Жили-были...
They lived happily ever after.,/ðeɪ lɪvd ˈhæpɪli ˈevər ˈɑːftər/,И жили они долго и счастливо.
# ─────────── ОДЕЖДА (CLOTHES) ───────────
clothes,/kləʊðz/,одежда
shirt,/ʃɜːt/,рубашка
T-shirt,/ˈtiːʃɜːt/,футболка
dress,/dres/,платье
skirt,/skɜːt/,юбка
trousers,/ˈtraʊzəz/,брюки
jeans,/dʒiːnz/,джинсы
shoes,/ʃuːz/,туфли / обувь
boots,/buːts/,ботинки / сапоги
socks,/sɒks/,носки
coat,/kəʊt/,пальто
jacket,/ˈdʒækɪt/,куртка
hat,/hæt/,шляпа / шапка
gloves,/ɡlʌvz/,перчатки
scarf,/skɑːf/,шарф
belt,/belt/,ремень
bag,/bæɡ/,сумка
glasses,/ˈɡlɑːsɪz/,очки
ring,/rɪŋ/,кольцо
# ─────────── ЭМОЦИИ (EMOTIONS) ───────────
feeling,/ˈfiːlɪŋ/,чувство
fear,/fɪər/,страх
joy,/dʒɔɪ/,радость
anger,/ˈæŋɡər/,гнев
surprised,/səˈpraɪzd/,удивлённый
bored,/bɔːd/,скучающий
excited,/ɪkˈsaɪtɪd/,взволнованный (радостно)
nervous,/ˈnɜːvəs/,нервный
proud,/praʊd/,гордый
jealous,/ˈdʒeləs/,ревнивый
lonely,/ˈləʊnli/,одинокий
calm,/kɑːm/,спокойный
confused,/kənˈfjuːzd/,в замешательстве
embarrassed,/ɪmˈbærəst/,смущённый
# ─────────── ТРАНСПОРТ (TRANSPORT) ───────────
transport,/ˈtrænspɔːt/,транспорт
bicycle,/ˈbaɪsɪkəl/,велосипед
ship,/ʃɪp/,корабль
boat,/bəʊt/,лодка
truck,/trʌk/,грузовик
motorbike,/ˈməʊtəbaɪk/,мотоцикл
underground,/ˈʌndəɡraʊnd/,метро (Британия)
subway,/ˈsʌbweɪ/,метро (США)
seat,/siːt/,место / сиденье
wheel,/wiːl/,колесо
# ─────────── ГЛАГОЛЫ ДВИЖЕНИЯ (MOVEMENT) ───────────
climb,/klaɪm/,взбираться
crawl,/krɔːl/,ползти
ride,/raɪd/,ехать верхом / кататься
push,/pʊʃ/,толкать
pull,/pʊl/,тянуть
kick,/kɪk/,пинать
enter,/ˈentər/,входить
return,/rɪˈtɜːn/,возвращаться
arrive,/əˈraɪv/,прибывать
travel,/ˈtrævəl/,путешествовать
escape,/ɪˈskeɪp/,сбегать
chase,/tʃeɪs/,преследовать
# ─────────── ДОМ: ДЕТАЛИ (HOME DETAILS) ───────────
roof,/ruːf/,крыша
stairs,/steəz/,лестница
ceiling,/ˈsiːlɪŋ/,потолок
furniture,/ˈfɜːnɪtʃər/,мебель
sofa,/ˈsəʊfə/,диван
shelf,/ʃelf/,полка
drawer,/drɔːr/,ящик (выдвижной)
fridge,/frɪdʒ/,холодильник
oven,/ˈʌvən/,духовка
towel,/ˈtaʊəl/,полотенце
blanket,/ˈblæŋkɪt/,одеяло
pillow,/ˈpɪləʊ/,подушка
lamp,/læmp/,лампа
# ─────────── ЕЩЁ ГЛАГОЛЫ (MORE VERBS) ───────────
begin,/bɪˈɡɪn/,начинать
hurt,/hɜːt/,причинять боль
feed,/fiːd/,кормить
drop,/drɒp/,ронять
shout,/ʃaʊt/,кричать
whisper,/ˈwɪspər/,шептать
listen,/ˈlɪsən/,слушать
hear,/hɪər/,слышать
taste,/teɪst/,пробовать на вкус
smell,/smel/,пахнуть / нюхать
touch,/tʌtʃ/,трогать
marry,/ˈmæri/,жениться / выходить замуж
raise,/reɪz/,растить / поднимать
break,/breɪk/,ломать
# ─────────── ЧИСЛА (NUMBERS) ───────────
zero,/ˈzɪərəʊ/,ноль
one,/wʌn/,один
two,/tuː/,два
three,/θriː/,три
four,/fɔːr/,четыре
five,/faɪv/,пять
six,/sɪks/,шесть
seven,/ˈsevən/,семь
eight,/eɪt/,восемь
nine,/naɪn/,девять
ten,/ten/,десять
twenty,/ˈtwenti/,двадцать
hundred,/ˈhʌndrəd/,сто
thousand,/ˈθaʊzənd/,тысяча
million,/ˈmɪljən/,миллион
first,/fɜːst/,первый
second,/ˈsekənd/,второй
third,/θɜːd/,третий
